MeanLength;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
110;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
120;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0;0;0;6;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
130;0;0;0;0;0;0;0;2;0;0;0;0;12;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;4;0;0;0
140;0;0;0;0;0;0;0;4;0;0;0;0;12;0;2;0;0;4;0;0;2;6;2;0;0;0;0;2;4;0;0;0;0;2;0;0;0
150;0;0;0;0;0;0;0;4;0;0;0;0;6;6;8;2;2;8;0;0;0;8;14;0;0;0;0;0;2;0;6;0;0;8;4;40;0
160;0;0;0;0;0;0;0;2;0;0;2;2;6;2;28;6;0;6;14;2;4;18;10;0;0;2;2;0;2;10;20;0;4;22;6;46;0
170;2;445;0;0;0;4;2;4;4;0;0;2;16;4;48;2;6;8;4;6;90;12;12;24;4;0;2;2;8;6;28;13;2;48;12;52;21
180;0;0;0;0;0;2;0;6;4;0;0;2;2;4;50;6;10;8;28;10;24;22;38;20;20;8;12;2;2;12;38;12;39;48;24;23;31
190;0;0;0;0;2;0;0;2;4;0;0;10;4;0;44;34;101;36;28;42;360;32;71;51;46;22;48;10;4;32;14;67;43;58;30;25;52
200;0;2;0;0;2;2;0;2;0;0;2;18;22;18;36;24;24;54;50;46;530;80;56;58;122;46;72;34;16;19;36;109;27;72;42;55;46
210;2;7;0;0;6;2;4;4;4;2;0;6;26;14;18;117;34;117;58;58;232;118;137;70;184;80;92;52;40;22;48;38;73;160;46;137;103
220;0;2;2;0;2;0;2;4;4;0;2;22;46;20;22;85;34;137;68;94;402;166;162;108;267;106;168;134;118;68;60;54;57;94;50;105;66
230;0;890;2;0;8;4;4;10;2;0;0;10;44;14;8;24;57;253;70;90;582;198;232;122;268;140;245;613;174;84;69;125;68;139;47;76;59
240;247;4;0;2;22;8;8;4;2;6;2;8;14;18;14;12;28;105;66;266;322;645;407;136;224;168;206;244;214;114;77;213;133;95;64;180;110
250;249;445;6;2;26;14;6;4;8;0;2;2;28;16;6;12;18;50;52;94;100;174;274;152;182;136;231;286;280;180;122;188;180;75;115;202;133
260;0;0;0;2;26;8;10;10;6;4;0;16;26;6;12;10;22;40;60;78;90;177;195;188;148;104;173;324;164;134;109;171;179;128;36;123;36
270;0;445;0;0;22;20;22;20;16;8;0;18;12;12;12;14;2;36;36;84;64;132;188;175;124;52;102;168;262;155;112;210;251;105;30;87;27
280;247;0;0;0;20;6;14;8;20;4;2;6;14;14;8;2;8;18;8;48;52;124;118;150;72;48;100;180;106;44;98;88;127;78;22;71;12
290;0;5;2;2;30;6;8;14;8;2;0;8;18;2;6;2;10;14;18;28;28;84;120;150;28;54;54;120;82;70;56;132;106;36;28;16;34
300;0;0;0;0;4;12;6;14;0;2;0;2;6;6;4;8;12;2;2;40;34;92;98;76;52;31;56;116;85;59;70;73;65;27;20;21;10
310;0;0;0;0;6;13;4;0;4;0;0;4;8;2;2;0;0;6;10;22;46;62;50;84;47;43;48;112;54;45;68;92;53;33;18;51;26
320;0;0;0;0;4;0;0;14;2;0;0;6;2;4;2;0;2;8;4;10;22;70;197;60;28;8;24;108;48;30;88;101;38;16;20;10;32
330;0;0;0;0;2;2;0;2;4;2;0;0;2;0;2;2;2;0;4;4;18;40;50;36;22;8;26;62;34;16;79;36;43;16;8;6;26
340;0;0;0;0;0;2;0;2;2;0;0;0;4;2;0;0;0;0;0;4;14;38;36;28;12;10;62;66;34;14;68;42;52;10;29;3;0
350;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;2;6;8;14;36;42;10;2;16;50;30;8;44;20;28;8;2;3;8
360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;16;14;28;22;14;8;30;22;6;28;36;8;2;6;4;0
370;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;10;4;26;4;0;4;18;8;8;30;14;10;2;6;0;2
380;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;4;4;10;12;2;8;18;14;6;4;4;0;2
390;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;4;0;0;0;4;6;4;20;16;8;0;10;0;0
400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;6;0;2;2;2;4;2;2;0;0
410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;4;4;0;0;4;0;0
420;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;2;2;2;2;0;0;0
440;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
